epoch,lr,train_loss,val_loss,val_mae_rom,val_mae_stability,val_mae_tempo,val_mae_final,val_rmse_final,val_r2_final,val_mae_all,is_best
64,2.47e-04,1.1598,0.8951,2.393,2.357,1.831,1.723,2.235,0.9803,2.076,
65,2.40e-04,1.1781,0.8210,2.123,2.398,1.687,1.569,2.105,0.9826,1.944,
66,2.33e-04,1.1662,0.7993,1.829,2.299,1.979,1.547,2.062,0.9833,1.913,
67,2.27e-04,1.1603,0.8806,2.174,2.457,1.539,1.658,2.249,0.9801,1.957,
68,2.20e-04,1.1393,0.7532,1.672,2.282,1.853,1.527,2.035,0.9837,1.833,
69,2.13e-04,1.1256,0.7713,1.604,2.405,1.787,1.581,2.124,0.9822,1.844,
70,2.06e-04,1.1646,0.7913,1.980,2.301,1.718,1.528,2.022,0.9839,1.882,
71,2.00e-04,1.1180,0.8238,2.032,2.249,1.644,1.602,2.109,0.9825,1.882,
72,1.93e-04,1.0960,0.7317,1.681,2.344,1.477,1.543,2.050,0.9835,1.761,
73,1.86e-04,1.1210,0.9486,2.185,2.348,2.069,1.757,2.269,0.9797,2.090,
74,1.80e-04,1.1151,0.8093,1.899,2.379,1.819,1.551,2.073,0.9831,1.912,
75,1.73e-04,1.0756,0.7992,1.834,2.376,1.796,1.494,1.995,0.9843,1.875,
76,1.67e-04,1.0874,0.7245,1.610,2.328,1.668,1.557,2.056,0.9834,1.791,
77,1.61e-04,1.0705,0.6692,1.509,2.234,1.529,1.407,1.911,0.9856,1.670,★
78,1.54e-04,1.0584,0.6659,1.395,2.307,1.476,1.374,1.884,0.9860,1.638,★
79,1.48e-04,1.0535,0.7182,1.724,2.267,1.519,1.475,1.965,0.9848,1.746,
80,1.42e-04,1.0620,0.6853,1.607,2.216,1.575,1.469,1.984,0.9845,1.717,
81,1.36e-04,1.0460,0.7294,1.679,2.434,1.555,1.480,2.005,0.9842,1.787,
82,1.30e-04,1.0431,0.7006,1.667,2.279,1.457,1.512,2.026,0.9839,1.729,
83,1.24e-04,1.0443,0.6852,1.757,2.304,1.378,1.467,1.966,0.9848,1.727,
84,1.18e-04,1.0397,0.6912,1.612,2.211,1.702,1.467,1.960,0.9849,1.748,
85,1.12e-04,1.0303,0.7354,2.026,2.244,1.419,1.479,1.999,0.9843,1.792,
86,1.07e-04,1.0083,0.6614,1.490,2.253,1.435,1.418,1.930,0.9853,1.649,★
87,1.01e-04,1.0249,0.6587,1.526,2.264,1.402,1.418,1.914,0.9856,1.653,★
88,9.57e-05,1.0194,0.7299,1.653,2.326,1.571,1.486,2.011,0.9841,1.759,
89,9.04e-05,1.0098,0.6969,1.591,2.285,1.559,1.406,1.917,0.9855,1.710,
90,8.52e-05,1.0148,0.6621,1.503,2.232,1.434,1.406,1.909,0.9857,1.644,
91,8.02e-05,1.0056,0.7315,1.739,2.279,1.525,1.502,2.000,0.9843,1.761,
92,7.53e-05,1.0009,0.7034,1.661,2.288,1.381,1.486,2.000,0.9843,1.704,
93,7.05e-05,0.9903,0.6555,1.509,2.308,1.312,1.414,1.930,0.9853,1.636,★
94,6.58e-05,0.9839,0.6410,1.385,2.237,1.429,1.435,1.940,0.9852,1.622,★
95,6.13e-05,0.9776,0.6597,1.528,2.254,1.421,1.408,1.910,0.9856,1.653,
96,5.70e-05,0.9872,0.6634,1.567,2.252,1.367,1.443,1.960,0.9849,1.657,
97,5.27e-05,0.9824,0.6880,1.587,2.318,1.428,1.410,1.916,0.9856,1.686,
98,4.87e-05,0.9741,0.6535,1.578,2.282,1.322,1.409,1.913,0.9856,1.648,
99,4.47e-05,0.9759,0.6169,1.399,2.247,1.260,1.385,1.886,0.9860,1.573,★
100,4.09e-05,0.9672,0.6503,1.487,2.255,1.390,1.401,1.910,0.9856,1.633,
101,3.73e-05,0.9565,0.6623,1.558,2.225,1.362,1.449,1.963,0.9848,1.649,
102,3.39e-05,0.9633,0.6734,1.501,2.250,1.440,1.487,1.998,0.9843,1.670,
103,3.06e-05,0.9737,0.6317,1.501,2.225,1.302,1.381,1.874,0.9862,1.602,
104,2.74e-05,0.9486,0.6397,1.582,2.205,1.405,1.400,1.888,0.9860,1.648,
105,2.45e-05,0.9436,0.6579,1.537,2.245,1.412,1.409,1.912,0.9856,1.651,
106,2.17e-05,0.9398,0.6485,1.457,2.231,1.390,1.422,1.917,0.9855,1.625,
107,1.90e-05,0.9444,0.6464,1.491,2.219,1.370,1.375,1.878,0.9861,1.614,
108,1.66e-05,0.9492,0.6479,1.511,2.237,1.352,1.398,1.892,0.9859,1.624,
109,1.43e-05,0.9542,0.6167,1.454,2.223,1.260,1.363,1.864,0.9863,1.575,
110,1.22e-05,0.9473,0.6438,1.471,2.224,1.412,1.415,1.913,0.9856,1.630,
111,1.03e-05,0.9368,0.6314,1.457,2.214,1.368,1.379,1.873,0.9862,1.604,
112,8.50e-06,0.9442,0.6527,1.499,2.244,1.370,1.403,1.905,0.9857,1.629,
113,6.93e-06,0.9407,0.6341,1.470,2.220,1.358,1.389,1.884,0.9860,1.609,
114,5.55e-06,0.9270,0.6194,1.405,2.221,1.320,1.366,1.860,0.9864,1.578,
115,4.34e-06,0.9427,0.6334,1.480,2.226,1.317,1.393,1.886,0.9860,1.604,
116,3.32e-06,0.9523,0.6403,1.477,2.232,1.335,1.400,1.895,0.9859,1.611,
117,2.49e-06,0.9389,0.6321,1.464,2.224,1.322,1.389,1.882,0.9861,1.600,
